question,answer
What is India according to the Union and its Territory?,"India, that is Bharat, shall be a Union of States."
"How is India, that is Bharat, defined in terms of its political structure?","India, that is Bharat, is defined as a Union of States according to the Union and its Territory."
What does the territory of India comprise of?,"The territory of India shall comprise the territories of the States, the Union territories specified in the First Schedule, and such other territories as may be acquired."
"What does the territory of a country, such as India, comprise of, according to their constitutional provisions?","The territory of a country like India comprises the territories of the States, the Union territories specified in the First Schedule, and such other territories as may be acquired."
Who has the authority to admit or establish new States into the Union?,"Parliament may by law admit into the Union, or establish, new States."
"Who can, by law, admit or establish new States into the Union?",Parliament
Under what circumstances can a new State be formed?,A new State can be formed by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State.
What are the ways in which a new State can be formed?,A new State can be formed by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State.
What power does the Parliament have over the area and boundaries of a State?,"Parliament may by law increase the area of any State, diminish the area of any State, alter the boundaries of any State, and alter the name of any State."
"What can Parliament do by law in relation to the area, boundaries, and name of a State?","Parliament may by law increase the area of any State, diminish the area of any State, alter the boundaries of any State, and alter the name of any State."
"Can a Bill for altering the area, boundaries or name of any States be introduced without the recommendation of the President?","No, a Bill for the purpose shall not be introduced in either House of Parliament except on the recommendation of the President."
"What is required for a Bill to be introduced in either House of Parliament for altering the area, boundaries or name of any States?",The Bill can only be introduced on the recommendation of the President.
What does 'State' include in clauses (a) to (e)?,"In clauses (a) to (e), 'State' includes a Union territory."
What does 'State' refer to in clauses (a) to (e)?,A Union territory
Does 'State' include a Union territory in the proviso?,"In the proviso, 'State' does not include a Union territory."
What does 'State' refer to in the proviso? Does it include a Union territory?,"In the proviso, 'State' refers to a geographical and administrative region, but it does not include a Union territory."
What does the power conferred on Parliament by clause (a) include?,The power conferred on Parliament by clause (a) includes the power to form a new State or Union territory by uniting a part of any State or Union territory.
What does the formation of a new State or Union territory by uniting a part of any State or Union territory fall under?,The formation of a new State or Union territory by uniting a part of any State or Union territory falls under the power conferred on Parliament by clause (a).
What does any law referred to in article 2 or article 3 contain?,"Such law contains provisions for the amendment of the First Schedule and the Fourth Schedule as may be necessary to give effect to the provisions of the law. It may also contain supplemental, incidental and consequential provisions, including provisions as to representation in Parliament and in the Legislature or Legislatures of the State or States affected by such law."
What do the provisions of a law referred to in article 2 or article 3 typically contain or affect?,"These laws typically contain provisions for the amendment of the First Schedule and the Fourth Schedule, and may include supplemental, incidental and consequential provisions. These can affect representation in Parliament and in the Legislature or Legislatures of the State or States affected by such law."
What is not considered an amendment of the Constitution under the context of articles 2 and 3?,Any law referred to in article 2 or article 3 is not deemed to be an amendment of the Constitution for the purposes of article 368.
